Date,Close
2017-05-15,44.04
2017-05-16,43.69
2017-05-17,43.08
2017-05-18,42.98
2017-05-19,43.16
2017-05-22,43.73
2017-05-23,43.68
2017-05-24,43.53
2017-05-25,43.95
2017-05-26,44.71
2017-05-30,45
2017-05-31,45.66
2017-06-01,46.1
2017-06-02,46.5
2017-06-05,46.62
2017-06-06,46.36
2017-06-07,46.56
2017-06-08,46.72
2017-06-09,47.29
2017-06-12,47.17
2017-06-13,47.46
2017-06-14,47.64
2017-06-15,48.12
2017-06-16,48.21
2017-06-19,48.89
2017-06-20,48.77
2017-06-21,48.57
2017-06-22,49.27
2017-06-23,49.08
2017-06-26,48.91
2017-06-27,48.67
2017-06-28,48.48
2017-06-29,48.73
2017-06-30,48.61
2017-07-03,48.71
2017-07-05,49
2017-07-06,47.94
2017-07-07,48.44
2017-07-10,48.23
2017-07-11,48.15
2017-07-12,48.43
2017-07-13,48.08
2017-07-14,48.91
2017-07-17,48.76
2017-07-18,48.74
2017-07-19,49.43
2017-07-20,50.85
2017-07-21,50.84
2017-07-24,50.8
2017-07-25,50.83
2017-07-26,50.4
2017-07-27,50.11
2017-07-28,49.61
2017-07-31,49.18
2017-08-01,49.15
2017-08-02,49.23
2017-08-03,49.16
2017-08-04,49.26
2017-08-07,49.3
2017-08-08,48.88
2017-08-09,48.77
2017-08-10,48.06
2017-08-11,48.54
2017-08-14,49.08
2017-08-15,48.82
2017-08-16,49.81
2017-08-17,49.29
2017-08-18,48.74
2017-08-21,48.88
2017-08-22,49.71
2017-08-23,49.64
2017-08-24,49.38
2017-08-25,49.35
2017-08-28,50.26
2017-08-29,50.15
2017-08-30,50.11
2017-08-31,50.94
2017-09-01,51.18
2017-09-05,51.03
2017-09-06,51.19
2017-09-07,51.49
2017-09-08,52.02
2017-09-11,52.45
2017-09-12,52.25
2017-09-13,52
2017-09-14,51.69
2017-09-15,51.76
2017-09-18,52.08
2017-09-19,51.41
2017-09-20,51.89
2017-09-21,51.43
2017-09-22,52.51
2017-09-25,52.61
2017-09-26,52.85
2017-09-27,52.15
2017-09-28,53.64
2017-09-29,53.36
2017-10-02,53.68
2017-10-03,53.75
2017-10-04,54.34
2017-10-05,54.92
2017-10-06,55
2017-10-09,54.66
2017-10-10,55.4
2017-10-11,54.44
2017-10-12,54.71
2017-10-13,54.65
2017-10-16,54.63
2017-10-17,55.06
2017-10-18,55.77
2017-10-19,56
2017-10-20,56.32
2017-10-23,56.08
2017-10-24,55.38
2017-10-25,55.49
2017-10-26,55.48
2017-10-27,55.37
2017-10-30,54.29
2017-10-31,54.23
