Date,Close
2018-11-19,35.29
2018-11-20,34.05
2018-11-21,34.6
2018-11-23,34.8
2018-11-26,35.01
2018-11-27,35.26
2018-11-28,36.65
2018-11-29,37.04
2018-11-30,37.67
2018-12-03,38.51
2018-12-04,36.52
2018-12-06,36.77
2018-12-07,35.48
2018-12-10,36.15
2018-12-11,36.56
2018-12-12,37.1
2018-12-13,36.98
2018-12-14,35.8
2018-12-17,34.05
2018-12-18,34.31
2018-12-19,33.98
2018-12-20,33.26
2018-12-21,32.83
2018-12-24,31.73
2018-12-26,33.68
2018-12-27,34.48
2018-12-28,34.67
2018-12-31,35.34
2019-01-02,34.46
2019-01-03,32.91
2019-01-04,34.21
2019-01-07,34.42
2019-01-08,35.38
2019-01-09,35.88
2019-01-10,35.95
2019-01-11,35.56
2019-01-14,35.31
2019-01-15,36.72
2019-01-16,36.62
2019-01-17,36.81
2019-01-18,37.69
2019-01-22,37.26
2019-01-23,37.19
2019-01-24,37.23
2019-01-25,37.45
2019-01-28,36.85
2019-01-29,37.01
2019-01-30,37.42
2019-01-31,38.15
2019-02-01,37.93
2019-02-04,37.93
2019-02-05,37.75
2019-02-06,38.77
2019-02-07,38.85
2019-02-08,39.19
2019-02-11,39.31
2019-02-12,40.04
2019-02-13,39.6
2019-02-14,39.92
2019-02-15,40.01
2019-02-19,39.86
2019-02-20,40.11
2019-02-21,40.12
2019-02-22,40.52
2019-02-25,39.99
2019-02-26,39.86
2019-02-27,39.93
2019-02-28,40.12
2019-03-01,40.75
2019-03-04,40.3
2019-03-05,40.19
2019-03-06,39.78
2019-03-07,39.59
2019-03-08,39.51
2019-03-11,39.9
2019-03-12,40.26
2019-03-13,40.23
2019-03-14,40.05
2019-03-15,40.21
2019-03-18,37.97
2019-03-19,38.17
2019-03-20,37.86
2019-03-21,38.15
2019-03-22,37.3
2019-03-25,37.64
2019-03-26,37.84
2019-03-27,37.49
2019-03-28,37.92
2019-03-29,38.38
2019-04-01,38.66
2019-04-02,38.52
2019-04-03,38.33
2019-04-04,38.16
2019-04-05,38.16
2019-04-08,38.15
2019-04-09,38.21
2019-04-10,38.36
2019-04-11,37.92
2019-04-12,37.73
2019-04-15,37.81
2019-04-16,36.17
2019-04-17,34.91
2019-04-18,35.11
2019-04-22,34.93
2019-04-23,35.89
2019-04-24,35.44
2019-04-25,36.93
2019-04-26,37.38
2019-04-29,36.73
2019-04-30,37.12
2019-05-01,36.38
2019-05-02,36.89
2019-05-03,37.2
2019-05-06,37.37
2019-05-07,36.77
2019-05-08,36.7
2019-05-09,37.07
2019-05-10,36.58
2019-05-13,35.97
2019-05-14,36.76
2019-05-15,37.07
2019-05-16,37.62
2019-05-17,37.32
2019-05-20,37.29
2019-05-21,37.7
2019-05-22,37.73
2019-05-23,37.79
2019-05-24,38.47
2019-05-28,38.45
2019-05-29,38.07
2019-05-30,38.44
2019-05-31,38.41
2019-06-03,38.29
2019-06-04,39.05
2019-06-05,40.01
2019-06-06,40.54
2019-06-07,41.28
2019-06-10,41.45
2019-06-11,41.17
2019-06-12,40.8
2019-06-13,40.66
2019-06-14,40.42
2019-06-17,40.68
2019-06-18,40.94
2019-06-19,41.66
2019-06-20,41.86
2019-06-21,41.69
2019-06-24,42.01
2019-06-25,41.72
2019-06-26,41.39
2019-06-27,41.93
2019-06-28,42.98
2019-07-01,42.9
2019-07-02,42.69
2019-07-03,42.63
2019-07-05,42.62
2019-07-08,42.61
2019-07-09,43.06
2019-07-10,42.89
2019-07-11,43.2
2019-07-12,42.25
2019-07-15,42.45
2019-07-16,41.86
2019-07-17,42.24
2019-07-18,42.64
2019-07-19,42.25
2019-07-22,42.5
2019-07-23,42.88
2019-07-24,42.87
2019-07-25,42.01
2019-07-26,42.08
2019-07-29,42.29
2019-07-30,42.86
2019-07-31,42.46
2019-08-01,42.61
2019-08-02,42.75
2019-08-05,41.36
2019-08-06,42.33
2019-08-07,42.18
2019-08-08,42.76
2019-08-09,43.2
2019-08-12,42.33
2019-08-13,42.86
2019-08-14,41.43
2019-08-15,41.87
2019-08-16,42.15
2019-08-19,42.74
2019-08-20,42.5
2019-08-21,42.55
2019-08-22,42.69
2019-08-23,41.17
2019-08-26,41.85
2019-08-27,42.22
2019-08-28,42.49
2019-08-29,42.84
2019-08-30,42.73
2019-09-03,41.67
2019-09-04,42.05
2019-09-05,42.61
2019-09-06,43.45
2019-09-09,41.74
2019-09-10,41.3
2019-09-11,42.3
2019-09-12,42.24
2019-09-13,41.81
2019-09-16,41.94
2019-09-17,42.32
2019-09-18,42.9
2019-09-19,43.06
2019-09-20,43.29
2019-09-23,43.15
2019-09-24,42.33
2019-09-25,42.2
2019-09-26,42.35
2019-09-27,40.31
2019-09-30,40.69
2019-10-01,40.24
2019-10-02,39.15
2019-10-03,39.75
2019-10-04,40.53
2019-10-07,40.35
2019-10-08,37.87
2019-10-09,38.61
2019-10-10,37.98
2019-10-11,38.23
2019-10-14,37.97
2019-10-15,38.46
2019-10-16,38.18
2019-10-17,38.17
2019-10-18,38.47
2019-10-21,38.65
2019-10-22,38.18
2019-10-23,40.09
2019-10-24,40.54
2019-10-25,40.85
2019-10-28,41.57
2019-10-29,41.75
2019-10-30,42.01
2019-10-31,41.7
2019-11-01,41.51
2019-11-04,40.98
2019-11-05,40.59
2019-11-06,40.72
2019-11-07,40.72
2019-11-08,40.51
2019-11-11,40.17
2019-11-12,41.22
2019-11-13,41.42
2019-11-14,41.57
2019-11-15,42.31
2019-11-18,42.29
2019-11-19,42.63
2019-11-20,42.61
2019-11-21,42.36
2019-11-22,41.85
2019-11-25,42.85
2019-11-26,42.83
2019-11-27,43.21
2019-11-29,43.25
2019-12-02,42.72
2019-12-03,42.61
2019-12-04,43.01
2019-12-05,43.26
2019-12-06,44.08
2019-12-09,43.71
