Date,Close
2017-12-05,55.77
2017-12-06,54.35
2017-12-07,54.77
2017-12-08,55.57
2017-12-11,56.34
2017-12-12,57.07
2017-12-13,56.91
2017-12-14,56.01
2017-12-15,56.24
2017-12-18,56.22
2017-12-19,56.23
2017-12-20,56.11
2017-12-21,56.6
2017-12-22,56.36
2017-12-26,56.34
2017-12-27,56.34
2017-12-28,56.6
2017-12-29,56.27
2018-01-02,56.22
2018-01-03,56.14
2018-01-04,57.05
2018-01-05,56.99
2018-01-08,56.66
2018-01-09,56.8
2018-01-10,57.3
2018-01-11,57.6
2018-01-12,58.66
2018-01-16,62.07
2018-01-17,62.03
2018-01-18,61.13
2018-01-19,61.28
2018-01-22,61.25
2018-01-23,61.7
2018-01-24,61.18
2018-01-25,61.3
2018-01-26,62.04
2018-01-29,61.63
2018-01-30,60.65
2018-01-31,59.25
2018-02-01,59.86
2018-02-02,58.56
2018-02-05,56.4
2018-02-06,55.46
2018-02-07,55.88
2018-02-08,54.73
2018-02-09,54.87
2018-02-12,55.43
2018-02-13,54.9
2018-02-14,54.9
2018-02-15,55.99
2018-02-16,56.29
2018-02-20,54.98
2018-02-21,54.55
2018-02-22,54.57
2018-02-23,54.87
2018-02-26,56.06
2018-02-27,54.72
2018-02-28,54.22
2018-03-01,53.7
2018-03-02,54.36
2018-03-05,54.4
2018-03-06,54.3
2018-03-07,54.47
2018-03-08,54.76
2018-03-09,55.14
2018-03-12,55.36
2018-03-13,55.37
2018-03-14,54.8
2018-03-15,55.25
2018-03-16,55.67
2018-03-19,54.63
2018-03-20,54.64
2018-03-21,54.69
2018-03-22,54.12
2018-03-23,53.41
2018-03-26,54.04
2018-03-27,53.75
2018-03-28,55.09
2018-03-29,54.47
2018-04-02,53.27
2018-04-03,54.09
2018-04-04,54.54
2018-04-05,54.53
2018-04-06,53.36
2018-04-09,56.16
2018-04-10,56.49
2018-04-11,56.2
2018-04-12,56.74
2018-04-13,57.17
2018-04-16,58.65
2018-04-17,59.27
2018-04-18,58.92
2018-04-19,58.64
2018-04-20,58.83
2018-04-23,60.25
2018-04-24,60.09
2018-04-25,59.63
2018-04-26,59.41
2018-04-27,59.47
2018-04-30,58.87
2018-05-01,57.98
2018-05-02,57.3
2018-05-03,57.53
2018-05-04,57.75
2018-05-07,57.38
2018-05-08,56.76
2018-05-09,57.95
2018-05-10,58.06
2018-05-11,59.69
2018-05-14,59.68
2018-05-15,59.2
2018-05-16,59.75
2018-05-17,59.07
2018-05-18,59.14
2018-05-21,58.57
2018-05-22,58.45
2018-05-23,59.17
2018-05-24,59.13
2018-05-25,59.09
2018-05-29,58.4
2018-05-30,59.72
2018-05-31,59.72
2018-06-01,60.56
2018-06-04,62.02
2018-06-05,61.39
2018-06-06,61.93
2018-06-07,61.99
2018-06-08,62.58
2018-06-11,62.33
2018-06-12,62.44
2018-06-13,62.59
2018-06-14,61.56
2018-06-15,62.03
2018-06-18,60.99
2018-06-19,61.03
2018-06-20,61.28
2018-06-21,61.18
2018-06-22,61.47
2018-06-25,61.08
2018-06-26,60.72
2018-06-27,59.88
2018-06-28,60.3
2018-06-29,60.7
2018-07-02,60.46
2018-07-03,60.71
2018-07-05,61.64
2018-07-06,62.2
2018-07-09,62.02
2018-07-10,62.3
2018-07-11,61.9
2018-07-12,62.66
2018-07-13,62.89
2018-07-16,62.59
2018-07-17,62.53
2018-07-18,62.94
2018-07-19,62.51
2018-07-20,62.52
2018-07-23,62.69
2018-07-24,63.42
2018-07-25,64.49
2018-07-26,64.01
2018-07-27,63.49
2018-07-30,64.81
2018-07-31,65.87
2018-08-01,65.49
2018-08-02,65.22
2018-08-03,65.93
2018-08-06,66.22
2018-08-07,66.58
2018-08-08,66.69
2018-08-09,66
2018-08-10,66.07
2018-08-13,66.72
2018-08-14,66.46
2018-08-15,67.37
2018-08-16,68.85
2018-08-17,69.06
2018-08-20,70.17
2018-08-21,69.17
2018-08-22,69.04
2018-08-23,68.97
2018-08-24,69.04
2018-08-27,68.99
2018-08-28,68.63
2018-08-29,68.81
2018-08-30,68.54
2018-08-31,68.59
2018-09-04,67.95
2018-09-05,68.62
2018-09-06,69.38
2018-09-07,69.67
2018-09-10,69.56
2018-09-11,69.08
2018-09-12,69.86
2018-09-13,70.83
2018-09-14,69.98
2018-09-17,70.42
2018-09-18,70.42
2018-09-19,69.98
2018-09-20,70.78
2018-09-21,71.1
2018-09-24,70.78
2018-09-25,70.65
2018-09-26,70.33
2018-09-27,70.72
2018-09-28,70.94
2018-10-01,71.53
2018-10-02,71.75
2018-10-03,71.37
2018-10-04,71.22
2018-10-05,71.03
2018-10-08,71.46
2018-10-09,72.34
2018-10-10,70.45
2018-10-11,68.37
2018-10-12,69.81
2018-10-15,69.46
2018-10-16,71.22
2018-10-17,71.82
2018-10-18,72.21
2018-10-19,72.35
2018-10-22,72.57
2018-10-23,72.1
2018-10-24,70.54
2018-10-25,69.96
2018-10-26,70.4
2018-10-29,71.45
2018-10-30,72.87
2018-10-31,73.61
2018-11-01,73.12
2018-11-02,72.27
2018-11-05,73.12
2018-11-06,73.31
2018-11-07,75.08
2018-11-08,75.48
2018-11-09,74.86
2018-11-12,74.69
2018-11-13,74.61
2018-11-14,74.09
2018-11-15,74.84
2018-11-16,76.06
2018-11-19,76.35
2018-11-20,74.78
2018-11-21,74.79
2018-11-23,74.67
2018-11-26,75.44
2018-11-27,76.34
2018-11-28,77.23
2018-11-29,77.91
2018-11-30,79.34
2018-12-03,79.22
2018-12-04,78.21
2018-12-06,78.37
2018-12-07,76.72
2018-12-10,77.42
2018-12-11,77.11
2018-12-12,78.01
2018-12-13,79.01
2018-12-14,76.48
2018-12-17,75.23
2018-12-18,74.33
2018-12-19,73.77
2018-12-20,73.49
2018-12-21,72.9
2018-12-24,71.15
2018-12-26,74
2018-12-27,75.38
2018-12-28,75.37
2018-12-31,76.41
2019-01-02,75.59
2019-01-03,74.04
2019-01-04,76.27
2019-01-07,75.43
2019-01-08,75.99
2019-01-09,75.41
2019-01-10,74.48
2019-01-11,74.9
2019-01-14,73.37
2019-01-15,74.5
2019-01-16,74.61
2019-01-17,75.6
2019-01-18,75.87
2019-01-22,75.83
2019-01-23,75.44
2019-01-24,73.17
2019-01-25,72.95
2019-01-28,72.92
2019-01-29,73.23
2019-01-30,73.37
2019-01-31,74.43
2019-02-01,76.45
2019-02-04,76.87
2019-02-05,77.15
2019-02-06,77.39
2019-02-07,76.82
2019-02-08,77.52
2019-02-11,76.71
2019-02-12,78.52
2019-02-13,79.02
2019-02-14,78.94
2019-02-15,79.81
2019-02-19,79.24
2019-02-20,79.43
2019-02-21,79.83
2019-02-22,80.77
2019-02-25,80.38
2019-02-26,80.74
2019-02-27,80.62
2019-02-28,81.29
2019-03-01,81.65
2019-03-04,81.37
2019-03-05,81.7
2019-03-06,80.76
2019-03-07,80.45
2019-03-08,79.8
2019-03-11,80.87
2019-03-12,81.23
2019-03-13,81.6
2019-03-14,81.49
2019-03-15,81.57
2019-03-18,81.35
2019-03-19,81.91
2019-03-20,82.08
2019-03-21,82.95
2019-03-22,82.29
2019-03-25,82.35
2019-03-26,82.92
2019-03-27,82.29
2019-03-28,82.63
2019-03-29,83.17
2019-04-01,83.3
2019-04-02,83.21
2019-04-03,83.18
2019-04-04,81.85
2019-04-05,81.15
2019-04-08,80.95
2019-04-09,80.8
2019-04-10,80.82
2019-04-11,79.84
2019-04-12,79.43
2019-04-15,78.53
2019-04-16,77.56
2019-04-17,73.92
2019-04-18,73.19
2019-04-22,73.46
2019-04-23,74.6
2019-04-24,74.73
2019-04-25,76.34
2019-04-26,76.63
2019-04-29,76.78
2019-04-30,78.71
2019-05-01,78.72
2019-05-02,79.52
2019-05-03,80
2019-05-06,79.48
2019-05-07,77.9
2019-05-08,78.18
2019-05-09,78.33
2019-05-10,78.19
2019-05-13,77.17
2019-05-14,77.42
2019-05-15,77.55
2019-05-16,79.13
2019-05-17,78.72
2019-05-20,78.88
2019-05-21,79.5
2019-05-22,80.98
2019-05-23,81.02
2019-05-24,81.17
2019-05-28,80.26
2019-05-29,79.36
2019-05-30,79.68
2019-05-31,79.21
2019-06-03,80.26
2019-06-04,81.08
2019-06-05,81.69
2019-06-06,81.44
2019-06-07,82.46
2019-06-10,82.48
2019-06-11,82.98
2019-06-12,83.71
2019-06-13,82.9
2019-06-14,82.78
2019-06-17,83.3
2019-06-18,84.49
2019-06-19,85.36
2019-06-20,84.6
2019-06-21,84.57
2019-06-24,85.51
2019-06-25,85.24
2019-06-26,83.54
2019-06-27,83.83
2019-06-28,83.85
2019-07-01,84.75
2019-07-02,85.51
2019-07-03,86.9
2019-07-05,85.6
2019-07-08,84.04
2019-07-09,84.86
2019-07-10,84.82
2019-07-11,81
2019-07-12,79.73
2019-07-15,80.96
2019-07-16,81.59
2019-07-17,81.92
2019-07-18,82.69
2019-07-19,81.39
2019-07-22,81.21
2019-07-23,82.03
2019-07-24,81.75
2019-07-25,81.75
2019-07-26,81.43
2019-07-29,82.49
2019-07-30,83.27
2019-07-31,82.99
2019-08-01,83.69
2019-08-02,84.47
2019-08-05,83.12
2019-08-06,84.35
2019-08-07,84.25
2019-08-08,84.73
2019-08-09,85.52
2019-08-12,85.02
2019-08-13,86.08
2019-08-14,83.4
2019-08-15,83.46
2019-08-16,85.06
2019-08-19,86.19
2019-08-20,85.65
2019-08-21,86.91
2019-08-22,86.72
2019-08-23,84.94
2019-08-26,85.88
2019-08-27,85.52
2019-08-28,86.48
2019-08-29,86.72
2019-08-30,86.47
2019-09-03,86.65
2019-09-04,86.05
2019-09-05,86.1
2019-09-06,86.57
2019-09-09,83.47
2019-09-10,81.69
2019-09-11,82.92
2019-09-12,83.31
2019-09-13,82.61
2019-09-16,82.03
2019-09-17,82.51
2019-09-18,83.02
2019-09-19,83.97
2019-09-20,85.16
2019-09-23,84.36
2019-09-24,83.6
2019-09-25,83.1
2019-09-26,83.88
2019-09-27,82.91
2019-09-30,84.18
2019-10-01,83.61
2019-10-02,81.62
2019-10-03,82.74
2019-10-04,85
2019-10-07,84.39
2019-10-08,83.29
2019-10-09,84.18
2019-10-10,83.76
2019-10-11,84.34
2019-10-14,84.69
2019-10-15,85.04
2019-10-16,84.45
2019-10-17,83.8
2019-10-18,84.68
2019-10-21,84.52
2019-10-22,81.3
2019-10-23,82.87
2019-10-24,82.58
2019-10-25,82.26
2019-10-28,82.2
2019-10-29,85.1
2019-10-30,86.22
2019-10-31,86.66
2019-11-01,84.94
2019-11-04,83.9
2019-11-05,82.92
2019-11-06,83.25
2019-11-07,82.88
2019-11-08,83.59
2019-11-11,83.28
2019-11-12,84.12
2019-11-13,84.82
2019-11-14,84.55
2019-11-15,84.9
2019-11-18,84.13
2019-11-19,84.65
2019-11-20,85.27
2019-11-21,85.46
2019-11-22,85.45
2019-11-25,85.7
2019-11-26,87.34
2019-11-27,87.61
2019-11-29,87.18
2019-12-02,87.04
2019-12-03,87.38
2019-12-04,88.67
2019-12-05,88.75
2019-12-06,88.85
2019-12-09,88.72
2019-12-10,89.1
2019-12-11,88.98
2019-12-12,89.57
2019-12-13,89.19
2019-12-16,89.29
2019-12-17,89.02
2019-12-18,89.62
2019-12-19,89.99
2019-12-20,91.58
2019-12-23,91.74
2019-12-24,91.44
2019-12-26,91.34
2019-12-27,91.5
2019-12-30,91.03
