Date,Close
2017-05-15,151.51
2017-05-16,153.68
2017-05-17,150.93
2017-05-18,150.78
2017-05-19,151.98
2017-05-22,152.64
2017-05-23,152.03
2017-05-24,152.51
2017-05-25,153.2
2017-05-26,152.49
2017-05-30,151.73
2017-05-31,152.63
2017-06-01,152.67
2017-06-02,152.05
2017-06-05,152.41
2017-06-06,152.37
2017-06-07,150.98
2017-06-08,152.1
2017-06-09,154.1
2017-06-12,155.18
2017-06-13,154.25
2017-06-14,153.81
2017-06-15,154.22
2017-06-16,155.38
2017-06-19,154.84
2017-06-20,154.95
2017-06-21,153.79
2017-06-22,154.4
2017-06-23,154.11
2017-06-26,155.23
2017-06-27,154.75
2017-06-28,155.32
2017-06-29,154.13
2017-06-30,153.83
2017-07-03,155.58
2017-07-05,153.67
2017-07-06,152.36
2017-07-07,152.94
2017-07-10,153.42
2017-07-11,153.19
2017-07-12,153.7
2017-07-13,153.63
2017-07-14,154.24
2017-07-17,153.01
2017-07-18,154
2017-07-19,147.53
2017-07-20,147.66
2017-07-21,147.08
2017-07-24,145.99
2017-07-25,146.19
2017-07-26,145.36
2017-07-27,145.07
2017-07-28,144.29
2017-07-31,144.67
2017-08-01,145.3
2017-08-02,144.45
2017-08-03,144.94
2017-08-04,145.16
2017-08-07,143.47
2017-08-08,142.11
2017-08-09,141.77
2017-08-10,141.84
2017-08-11,141.84
2017-08-14,142.32
2017-08-15,142.07
2017-08-16,142.5
2017-08-17,140.7
2017-08-18,139.7
2017-08-21,140.33
2017-08-22,141.01
2017-08-23,142.14
2017-08-24,142.94
2017-08-25,143.74
2017-08-28,142.51
2017-08-29,143.14
2017-08-30,142.56
2017-08-31,143.03
2017-09-01,144.08
2017-09-05,143.04
2017-09-06,143.82
2017-09-07,142.9
2017-09-08,142.45
2017-09-11,144.86
2017-09-12,145.76
2017-09-13,145.99
2017-09-14,145.54
2017-09-15,144.82
2017-09-18,144.55
2017-09-19,144.39
2017-09-20,145.88
2017-09-21,145.26
2017-09-22,145.13
2017-09-25,145.87
2017-09-26,146.56
2017-09-27,145.66
2017-09-28,145.66
2017-09-29,145.08
2017-10-02,146.66
2017-10-03,146.78
2017-10-04,146.48
2017-10-05,146.72
2017-10-06,146.48
2017-10-09,147.39
2017-10-10,148.5
2017-10-11,147.62
2017-10-12,147.03
2017-10-13,147.1
2017-10-16,146.83
2017-10-17,146.54
2017-10-18,159.53
2017-10-19,160.9
2017-10-20,162.07
2017-10-23,159.55
2017-10-24,155.88
2017-10-25,153.5
2017-10-26,153.6
2017-10-27,153.68
2017-10-30,154.36
2017-10-31,154.06
2017-11-01,154.03
2017-11-02,153.35
2017-11-03,151.58
2017-11-06,150.84
2017-11-07,151.35
2017-11-08,151.57
2017-11-09,150.3
2017-11-10,149.16
2017-11-13,148.4
2017-11-14,148.89
2017-11-15,147.1
2017-11-16,149.12
2017-11-17,148.97
2017-11-20,150.51
2017-11-21,151.95
2017-11-22,151.77
2017-11-24,151.84
2017-11-27,151.98
2017-11-28,152.47
2017-11-29,153.55
2017-11-30,153.97
2017-12-01,154.76
2017-12-04,156.46
2017-12-05,155.35
2017-12-06,154.1
2017-12-07,153.57
2017-12-08,154.81
2017-12-11,155.41
2017-12-12,156.74
2017-12-13,153.91
2017-12-14,154
2017-12-15,152.5
2017-12-18,153.33
2017-12-19,153.23
2017-12-20,152.95
2017-12-21,151.5
2017-12-22,152.5
2017-12-26,152.83
2017-12-27,153.13
2017-12-28,154.04
2017-12-29,153.42
2018-01-02,154.25
2018-01-03,158.49
2018-01-04,161.7
2018-01-05,162.49
2018-01-08,163.47
2018-01-09,163.83
2018-01-10,164.18
2018-01-11,164.2
2018-01-12,163.14
2018-01-16,163.85
2018-01-17,168.65
2018-01-18,169.12
2018-01-19,162.37
2018-01-22,162.6
2018-01-23,166.25
2018-01-24,165.37
2018-01-25,165.47
2018-01-26,167.34
2018-01-29,166.8
2018-01-30,163.62
2018-01-31,163.7
2018-02-01,162.4
2018-02-02,159.03
2018-02-05,152.53
2018-02-06,155.34
2018-02-07,153.85
2018-02-08,147.59
2018-02-09,149.51
2018-02-12,151.4
2018-02-13,150.75
2018-02-14,154.76
2018-02-15,156.01
2018-02-16,156.18
2018-02-20,155.16
2018-02-21,153.96
2018-02-22,153.18
2018-02-23,155.52
2018-02-26,158.58
2018-02-27,156.55
2018-02-28,155.83
2018-03-01,153.81
2018-03-02,154.49
2018-03-05,156.95
2018-03-06,155.72
2018-03-07,158.32
2018-03-08,156.21
2018-03-09,159.31
2018-03-12,160.26
2018-03-13,159.32
2018-03-14,158.12
2018-03-15,159.61
2018-03-16,160.26
2018-03-19,157.35
2018-03-20,156.2
2018-03-21,156.69
2018-03-22,152.09
2018-03-23,148.89
2018-03-26,153.37
2018-03-27,151.91
2018-03-28,152.52
2018-03-29,153.43
2018-04-02,150.07
2018-04-03,149.85
2018-04-04,154.12
2018-04-05,154.03
2018-04-06,150.57
2018-04-09,152.69
2018-04-10,155.39
2018-04-11,155.36
2018-04-12,158.07
2018-04-13,156.71
2018-04-16,157.89
2018-04-17,160.91
2018-04-18,148.79
2018-04-19,147.7
2018-04-20,144.9
2018-04-23,145.86
2018-04-24,145.56
2018-04-25,145.94
2018-04-26,146.72
2018-04-27,146.48
2018-04-30,144.96
2018-05-01,145
2018-05-02,142.45
2018-05-03,141.99
2018-05-04,143.91
2018-05-07,143.22
2018-05-08,143
2018-05-09,142.61
2018-05-10,144.24
2018-05-11,144.14
2018-05-14,144.3
2018-05-15,143.74
2018-05-16,144.63
2018-05-17,144.5
2018-05-18,144.5
2018-05-21,145.49
2018-05-22,145.09
2018-05-23,144.67
2018-05-24,144.07
2018-05-25,143.64
2018-05-29,141.22
2018-05-30,142.62
2018-05-31,141.31
2018-06-01,141.95
2018-06-04,143.04
2018-06-05,143.7
2018-06-06,144.71
2018-06-07,145.36
2018-06-08,146.14
2018-06-11,146.58
2018-06-12,146.87
2018-06-13,146.35
2018-06-14,145.2
2018-06-15,145.39
2018-06-18,144.48
2018-06-19,143.9
2018-06-20,142.63
2018-06-21,141.25
2018-06-22,141.28
2018-06-25,138.79
2018-06-26,139.08
2018-06-27,137.48
2018-06-28,140.04
2018-06-29,139.7
2018-07-02,139.86
2018-07-03,139.57
2018-07-05,141.43
2018-07-06,142.48
2018-07-09,144.39
2018-07-10,144.71
2018-07-11,144.71
2018-07-12,146.45
2018-07-13,145.9
2018-07-16,145.46
2018-07-17,143.49
2018-07-18,144.52
2018-07-19,149.24
2018-07-20,146.35
2018-07-23,145.7
2018-07-24,146.38
2018-07-25,146.62
2018-07-26,146.71
2018-07-27,145.15
2018-07-30,145.49
2018-07-31,145.49
2018-08-01,143.5
2018-08-02,142.96
2018-08-03,147.7
2018-08-06,146.03
2018-08-07,147.01
2018-08-08,146.89
2018-08-09,144.77
2018-08-10,144.48
2018-08-13,142.71
2018-08-14,143.36
2018-08-15,143.91
2018-08-16,145.34
2018-08-17,146.06
2018-08-20,146.51
2018-08-21,145.97
2018-08-22,145.24
2018-08-23,145.37
2018-08-24,146.04
2018-08-27,146.69
2018-08-28,146.59
2018-08-29,147.54
2018-08-30,145.93
2018-08-31,146.48
2018-09-04,145.68
2018-09-05,146.66
2018-09-06,146.39
2018-09-07,145.45
2018-09-10,145.65
2018-09-11,146.49
2018-09-12,146.57
2018-09-13,148.95
2018-09-14,148.33
2018-09-17,147.94
2018-09-18,148.56
2018-09-19,149.06
2018-09-20,151.15
2018-09-21,151.35
2018-09-24,150.03
2018-09-25,148.91
2018-09-26,151.61
2018-09-27,151.5
2018-09-28,151.21
2018-10-01,153
2018-10-02,153.75
2018-10-03,153.22
2018-10-04,151.31
2018-10-05,149.03
2018-10-08,148.39
2018-10-09,147.24
2018-10-10,142.69
2018-10-11,139.02
2018-10-12,140.85
2018-10-15,141.13
2018-10-16,145.12
2018-10-17,134.05
2018-10-18,130.55
2018-10-19,129.1
2018-10-22,130.02
2018-10-23,131.21
2018-10-24,127.21
2018-10-25,126.45
2018-10-26,124.79
2018-10-29,119.64
2018-10-30,115.4
2018-10-31,115.43
2018-11-01,116.83
2018-11-02,115.67
2018-11-05,120.06
2018-11-06,123.12
2018-11-07,124.84
2018-11-08,123.38
2018-11-09,123.54
2018-11-12,120.9
2018-11-13,120.84
2018-11-14,120.2
2018-11-15,121.44
2018-11-16,121.57
2018-11-19,120.31
2018-11-20,117.2
2018-11-21,118.57
2018-11-23,117.19
2018-11-26,119.56
2018-11-27,120.03
2018-11-28,123
2018-11-29,121.48
2018-11-30,124.27
2018-12-03,125.31
2018-12-04,121.6
2018-12-06,123.91
2018-12-07,119.34
2018-12-10,121.13
2018-12-11,120.89
2018-12-12,121.16
2018-12-13,120.73
2018-12-14,119.9
